상품명,옵션내용,현재고,미발송수,주문수,주문금액,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
에바다용 캠퍼(Camper) 미드,캠퍼SS 미드 수납형 사다리(수납통 3ea) - 화이트/베이지 공용,1,3,,,0,0,0,0,0,0,0,0,0,0,28,14
네티,화이트&오크,69,3,,,0,0,0,0,0,0,0,0,0,23,56,55
LED언더라이트,LED 본체,557,95,,,0,0,764,1389,2041,3295,3209,1748,1172,848,808,703
LED언더라이트,어댑터,544,96,,,0,0,767,1429,2086,3367,3265,1796,1190,867,827,706
실리콘 손잡이,커버 화이트,1154,164,,,0,0,0,0,0,676,1531,788,2083,639,1365,1427
워싱코튼 누빔 매트리스 커버,사이즈:SS 색상:아이보리,497,176,,,0,0,0,0,0,0,0,0,0,284,1291,1086
하이가드 유아침대 아이비 (Ivy) 펠트도어,샌드 화이트,189,131,,,0,0,0,0,0,0,0,0,0,0,574,853
마이크로파이버 속통,베개속통,420,101,,,15,2866,3516,4471,6663,10620,8194,4380,3930,2258,1638,696
낮은장 공용,측판-화이트(LSW),175,29,,,0,0,40,148,107,101,104,70,47,38,113,230
현대물류용 캠퍼(Camper) 미드,캠퍼SS 미드 수납형 사다리(수납통 3ea) - 화이트/베이지 공용,2,2,,,0,0,0,0,0,0,0,0,0,0,20,13
현대물류용 캠퍼(Camper) 미드,캠퍼SS 미드확장키트 소프트화이트 (통판버전),2,2,,,0,0,0,0,0,0,0,0,0,0,11,12
마이크로파이버 속통,이불속통-사계절용S,425,101,,,15,2681,3133,4120,6331,10062,7520,3804,3321,1838,1456,620
에바다용 캠퍼(Camper) 미드,캠퍼SS 미드 수납형 사다리 화이트,1,3,,,0,0,0,0,0,0,0,0,0,0,13,11
에바다용 캠퍼(Camper) 미드,캠퍼SS 미드확장키트 소프트화이트 (통판버전),0,3,,,0,0,0,0,0,0,0,0,0,0,2,11
톤온톤 책장 800,포인트-그레이(P8G),202,31,,,0,0,102,317,367,454,373,200,120,109,167,238
현대물류용 톤온톤 책상장 1200,포인트-화이트(P2W),0,3,,,0,0,0,0,47,169,264,320,259,271,193,80
현대물류용 뉴트럴 플라이우드 데스크,리어탑-오크솔리드원목,6,7,,,0,0,0,0,0,0,0,0,0,277,268,100
현대물류용 보리침대용 안전가드,헤이하이침대용 하이간살가드,3,2,,,0,0,0,0,0,0,0,0,0,0,0,14
현대물류용 톤온톤 책장 공용,"측판(1200,800,600)-화이트(S8W)",1,5,,,0,0,0,40,251,282,204,65,60,39,101,92
유아용 범퍼가드,아이보리 (폴리),162,31,,,0,0,0,0,0,0,0,0,2,21,606,286
헤이미드 스텝 스툴,베이지,213,29,,,0,0,0,0,0,0,0,0,0,1,358,243
워싱코튼 누빔 매트리스 패드,사이즈:SS 색상:아이보리,434,168,,,0,0,0,0,0,0,0,0,0,244,1229,1037
자체 헤이(HEJ) 로우벙커 침대 SS (라이즈),소프트화이트 1번,26,3,,,0,0,0,0,0,0,0,0,2,127,144,43
자체 헤이(HEJ) 로우벙커 침대 SS (라이즈),소프트화이트 2번,16,2,,,0,0,0,0,0,0,0,0,2,129,147,45
현대물류용 헤이(HEJ) 단층침대 SS,베이지 1번,1,1,,,0,0,0,0,0,0,0,0,0,1,32,18
현대물류용 헤이(HEJ) 단층침대 SS,베이지 2번,1,1,,,0,0,0,0,0,0,0,0,0,1,32,18
톤온톤 책장 공용,"측판(1200,800)-오크솔리드원목",41,2,,,0,0,0,0,0,0,0,0,0,44,63,38
톤온톤 3단 2000장,측판-화이트(3S20W),183,12,,,0,0,0,0,0,0,0,0,0,0,0,14
톤온톤 3단 2000장,천지선반-화이트(3L20W),172,12,,,0,0,0,0,0,0,0,0,0,0,0,14
톤온톤 3단 2000장,"뒷판,칸막이-화이트(3DB20W)",133,12,,,0,0,0,0,0,0,0,0,0,0,0,14
키위체어 실리콘 손잡이 커버,세이지 그린,116,0,,,0,0,0,0,0,0,0,0,0,0,158,124
800 낮은장,천지선반-화이트(LH8W),85,28,,,0,0,37,107,79,75,87,57,30,25,101,206
800 낮은장,뒷판-화이트(LB8W),168,28,,,0,0,37,107,81,75,87,57,30,25,100,205
빅클립,스탠다드(책상용),3528,67,,,0,0,0,1,6864,9387,7203,5669,4369,3239,2108,976
현대물류용 뉴트럴 플라이우드 데스크,상판-오크솔리드원목,3,4,,,0,0,0,0,0,0,0,0,0,67,71,58
자체 헤이(HEJ) 미드확장키트 SS,베이지,1,3,,,0,0,0,0,0,0,0,0,0,7,123,31
현대물류용 캠퍼(Camper) 미드,캠퍼SS 미드 수납형 사다리 화이트,2,1,,,0,0,0,0,0,0,0,0,0,0,14,11
플레이 부품,침대 펠트 스크린용 고리,323,102,,,0,0,0,92,634,1129,1054,653,553,596,1877,710
현대물류용 헤이(HEJ) 하이확장키트 SS,베이지 1번,1,1,,,0,0,0,0,0,0,0,0,0,0,1,12
현대물류용 헤이(HEJ) 하이확장키트 SS,베이지 2번,1,1,,,0,0,0,0,0,0,0,0,0,0,1,12
키위체어 실리콘 손잡이 커버,핑크 샌드,191,0,,,0,0,0,0,0,0,0,0,0,0,143,161
자체 헤이(HEJ) 단층침대 SS,소프트화이트 1번(통판/하이용 간살가드버전),0,1,,,0,0,0,0,0,0,0,0,0,0,75,68
자체 헤이(HEJ) 단층침대 SS,소프트화이트 2번(통판/하이용 간살가드버전),0,1,,,0,0,0,0,0,0,0,0,0,0,75,69
구름펠트,단일상품,402,36,,,0,0,0,0,0,0,0,0,0,11,385,222
현대물류용 스프라우트 매트리스,SS(110*200) - 17cm,7,9,,,0,0,0,0,0,0,0,0,0,0,0,52
조립신청,조립신청,-2,194,,,0,14,280,148,268,832,1443,4944,4771,3090,6524,5757
현대물류용 톤온톤 책상장 1200,뒷판-화이트(B2W),0,4,,,0,0,0,0,0,0,0,0,0,0,48,55
현대물류용 톤온톤 책상장 1200,천지선반-화이트(H2W),0,4,,,0,0,0,0,0,0,0,0,0,0,48,55
유아용 안티 진드기커버 TS(68*132*20),화이트,1650,49,,,0,0,0,0,0,0,0,0,88,768,1040,469
톤온톤 책상장  1200,칸막이1200-오크솔리드원목,40,2,,,0,0,0,0,0,0,0,0,0,29,45,22
현대물류용 톤온톤 책상장 1200,뒷판-그레이(B2G),6,6,,,0,0,0,0,0,0,88,487,351,306,177,43
현대물류용 톤온톤 책상장 1200,천지선반-그레이(H2G),0,0,,,0,0,0,0,0,0,90,494,353,316,175,37
플레이 부품,뉴패브릭용 커튼봉,72,36,,,0,0,0,39,316,1833,1672,811,573,423,447,190
비타워,실리콘 젤패드,682,65,,,0,0,0,0,6863,11124,9005,4909,3300,2709,1911,761
현대물류용 톤온톤 책장 공용,"측판(1200,800,600)-그레이(S8G)",0,0,,,0,0,0,78,356,330,438,780,556,435,211,47
자체 헤이(HEJ) 단층침대 ES,소프트화이트 1번,34,1,,,0,0,0,0,0,0,0,0,0,0,86,23
자체 헤이(HEJ) 단층침대 ES,소프트화이트 2번,34,1,,,0,0,0,0,0,0,0,0,0,0,82,25
에바다용 스프라우트 매트리스,SS(110*200) - 17cm,10,13,,,0,0,0,0,0,0,0,0,0,0,0,73
유아용 매트리스 (65*119),65*119*11,4,3,,,0,0,0,0,0,0,0,0,0,59,236,103
키위체어 실리콘 손잡이 커버,라벤더 블루,53,0,,,0,0,0,0,0,0,0,0,0,0,168,275
유아용 범퍼가드,라이트 그레이 (폴리),103,14,,,0,0,0,0,0,0,0,0,0,0,335,191
자체 와이드 하단 서랍,소프트화이트,102,83,,,0,0,0,0,0,0,0,0,0,0,525,443
뉴온라인스탠드,클램프,302,35,,,0,0,0,0,0,0,0,1266,2891,2554,1513,545
유아용 매트리스 워싱 커버,사이즈:TS 색상:아이보리,10,50,,,0,0,0,0,0,0,0,0,38,390,470,232
싱글침대,화이트워시,87,4,,,21,675,1211,1579,1943,3371,2387,1293,883,670,156,36
워싱코튼 누빔 매트리스 커버,사이즈:SS 색상:라이트그레이,115,52,,,0,0,0,0,0,1,344,243,210,303,753,417
노트북거치대(NLS01),카키 그레이,569,2,,,0,0,0,0,0,0,5650,9012,5303,3473,1873,508
워싱코튼 누빔 매트리스 패드,사이즈:SS 색상:라이트그레이,143,48,,,0,0,0,0,0,1,393,262,230,291,749,419
톤온톤 책상장  1200,포인트-그레이(P2G),89,2,,,0,0,0,0,189,366,185,36,12,21,68,48
현대물류용 톤온톤 3단 2000장,측판-화이트(3S20W),3,5,,,0,0,0,0,0,0,0,0,0,0,0,6
현대물류용 톤온톤 3단 2000장,천지선반-화이트(3L20W),3,5,,,0,0,0,0,0,0,0,0,0,0,0,6
현대물류용 톤온톤 3단 2000장,"뒷판,칸막이-화이트(3DB20W)",3,5,,,0,0,0,0,0,0,0,0,0,0,0,6
에바다용 뉴트럴 플라이우드 데스크,상판-오크솔리드원목,17,6,,,0,0,0,0,0,0,0,0,0,31,39,28
자체 헤이(HEJ) 2층확장키트 ES,1번 - 소프트화이트/베이지 공용,0,2,,,0,0,0,0,0,0,0,0,0,0,5,7
자체 헤이(HEJ) 2층확장키트 ES,2번 - 소프트화이트/베이지 공용,3,2,,,0,0,0,0,0,0,0,0,0,0,3,7
자체 헤이(HEJ) 2층확장키트 ES,짧은키트 (1개매칭),37,2,,,0,0,0,0,0,0,0,0,0,0,5,7
