상품명,옵션내용,현재고,미발송수,주문수,주문금액,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3
현대물류용 톤온톤 책상장 1200,뒷판-차콜(B2C),6,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,110,358,202,196,259,354,247,216,241,442,140,128,116,20,3,0,4,6,4,2,1,5,2,0,5,5,0,0,0,1,1,0
플레이터널 ES,인디고블루 (인어공주 스타피쉬),27,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,56,27,23,52,95,64,47,57,66,40,42,64,45,37,25,25,42,26,28,28,28,14,13,12,18,6,2,6,4,1,0
AS용 스페어 (연그레이),5번 (싱글),23,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
AS용 스페어 (연그레이),10번/20번 (미드/벙커),36,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,1,1,0
AS용 스페어 (밤부체어),등받이틸팅나사(1ea),56,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,25,11,25,37,33,32,46,86,95,59,25,43,70,45,30,45,31,31,12,17,27,19,4,17,34,6,8,20,18,0
에바다용 플레이 부품,뉴패브릭용 커튼봉,38,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,15,23,32,75,126,106,116,136,100,90,117,90,54,29,25,49,42,34,35,37,24,25,16,43,26,16,16,10,4,0
니스툴그로우 유아소파,솔리드 네이비,163,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,74,63,16,18,15,10,4,4,18,8,4,2,5,4,6,3,8,5,5,3,2,10,7,2,5,4,13,8,0
니스툴그로우 유아소파,솔리드 코랄,52,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,29,0,6,4,4,4,5,2,24,4,8,4,5,2,9,6,7,1,0,1,4,5,0,2,2,2,4,3,0
메쉬백밤부 시트커버,솔리드 레드,204,19,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,102,109,93,112,172,64,79,83,66,14,19,25,27,7,7,5,21,9,6,9,18,4,14,9,67,55,1
펠트도어 1200,하프문 네이비/그레이,97,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,5,5,5,3,6,2,4,1,0,0,2,1,1,3,1,1,1,3,14,9,3,4,4,2,0
